id,title,author,category_id,description,img_url,isbn
1,The Green Belt,Thế Vinh Ngô,1,"""The Green Belt"" is the story of a Vietnamese newspaper reporter who journeyed into the central highlands of Vietnam during the war in the late 1960s and witnessed the traditional antagonism between tribal highlanders and lowland Vietnamese. Of interest and current significance is the narrator's account of the highlanders' side of the conflict, and his evaluation of alternative solutions that could have advanced the welfare of ethnic minorities. Socially relevant, the novel recounts a true ongoing conflict. Fighting over land and religion in Vietnam's central highlands is a human rights issue frequently making the news. Several thousand Montagnards, many of whom fought alongside the U.S. Special Forces during the Vietnam War, resettled in North Carolina in the period after 1975. This large community never stops growing as a result of the endless exodus for freedom. The compelling story of this novel, blended of fact and fiction, reveals the roots of unrest and is a unique voice advocating survival of indigenous peoples in mainland Southeast Asia.",https://books.google.com/books/content?id=2CNFI_8ZZbAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,157197394X
2,Người La Ha ở Việt Nam,"Thị Thu Hương Lê, Thúy Hằng Bùi",1,"Cuốn sách tập hợp những hình ảnh chân thực và sinh động phản ánh nhiều phương diện trong đời sống của người La Ha từ nguồn gốc và phân bố dân cư, bản làng, nhà ở, nguồn sống...",https://books.google.com/books/content?id=VNKMaSBk4f8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015105346756
3,NTC's Vietnamese-English Dictionary,Dinh-hoa Nguyen,1,"Includes 50,000 definitions and pronunciation tones for northern, central, and southern parts of Vietnam.",https://books.google.com/books/content?id=4892EoUm2REC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0844283576
4,Blank Verse,Khế Iêm,1,"Vietnamese New Formalism poetry is a type of modern folk poetry, not the kind of poetry that has become literature and selected for lectures in the schools under intellectual scrutiny, but the kind of poetry that permeates the common folk, reflecting their ordinary daily activities. --Dang Tien.",https://books.google.com/books/content?id=EYlkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015064303822
5,Tiểu luận & phê bình văn học,Quốc Liên Mai,1,Literary essays and criticism.,https://books.google.com/books/content?id=APoQHmHgrmAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C112425578
6,VAN CHUONG TAN RÃ,Inrasara Nhà van,1,"VĂN CHƯƠNG TAN RÃ Tác giả Inrasara Lotus Media xuất bản, Hoa Kỳ, 2019 Bìa và trình bày: Uyên Nguyên",https://books.google.com/books/content?id=zURkwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0359516319
7,CUỘC CHIẾN VÀNG - ĐÔ QUA LĂNG KÍNH KINH TẾ CHÍNH TRỊ,TRẦN HÀN,2,"Không phải mọi cuộc chiến đều có tiếng súng. Có những cuộc chiến diễn ra trong bóng tối của ngân hàng trung ương, trong những căn phòng kín của giới quyền lực, nơi một quyết định nhỏ có thể làm sụp đổ cả nền kinh tế. Ở đó, vàng và đô la Mỹ lặng lẽ đối đầu. Một bên là kim loại cổ xưa đã tồn tại hàng nghìn năm, không thể in thêm, không thể thao túng. Một bên là đồng tiền quyền lực nhất lịch sử, được hậu thuẫn bởi sức mạnh chính trị và những cỗ máy in tiền không ngừng nghỉ. Khi khủng hoảng bùng nổ, chiến tranh nổ ra, niềm tin lung lay… dòng vốn bí ẩn luôn dịch chuyển. Ai đang điều khiển nó? Ai thực sự kiểm soát luật chơi? Cuộc chiến Vàng – USD qua lăng kính kinh tế chính trị không chỉ kể câu chuyện về tiền tệ, mà bóc tách những tầng sâu của quyền lực toàn cầu – nơi kinh tế là vũ khí, còn tiền tệ là công cụ thống trị. Sự thật đôi khi không nằm trên bảng giá. Nó nằm sau cánh cửa mà rất ít người được phép nhìn thấy.",https://books.google.com/books/content?id=Kde7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A
8,Một số vấn đề lý luận kinh tế chính trị và phát triển kinh tế Việt Nam,Unknown,2,Collection of arguments on socio-economic and political development in Vietnam.,https://books.google.com/books/content?id=5LbsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015038228899
9,"Cơ sở khoa học đẻ̂ xây dựng tiêu chí, bước đi, cơ ché̂ chính sách trong quá trình công nghiệp hoá, hiện đại hoá nông nghiệp, nông thôn",Unknown,2,Aspects of industrialization and modern agriculture for economic development in the rural area of Vietnam.,https://books.google.com/books/content?id=y7TsAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,UOM:39015063135860
10,Góp phần tìm hiểu quyền con người ở Việt Nam,Hùng Hải Hoàng,2,On the implementation of human rights in Vietnam.,https://books.google.com/books/content?id=mAxjiGfwSFEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,UCBK:C100348946
